Data file;Generations;Population size;Crossover probability;Mutation probability;Tournament size
berlin52;200;100;0.8;0.5;5

Generation;Best;Average;Worst
1;8207.58;27952.63;34222.59
2;8207.58;21143.9;31198.08
3;8207.58;13560.88;27760.08
4;8207.58;10970.32;15973.22
5;8207.58;10536.58;14122.76
6;8207.58;10380.48;13851.34
7;8287.94;10073.91;12938.65
8;8279.24;10043.95;12514.89
9;8287.94;9680.02;13850.85
10;8287.94;9270.52;11727.95
11;8287.94;8950.62;10772.96
12;8252.13;8715.46;11052.82
13;8182.16;8749.86;11174.43
14;8166.26;8638.73;10815.9
15;8166.26;8839.51;10916.16
16;8166.26;8755.88;11231.42
17;8160.39;8803.53;11942.67
18;8160.39;8648.41;10238.38
19;8060.48;8658.51;10082.96
20;8060.48;8823.0;10986.83
21;8060.48;8829.69;12033.31
22;8027.64;8570.26;10132.14
23;8027.64;8686.98;10815.37
24;7889.64;8572.76;12982.38
25;7889.64;8541.57;10684.57
26;7889.64;8676.2;11031.12
27;7976.46;8450.14;10144.93
28;7753.59;8596.69;11429.58
29;7753.59;8552.93;10347.58
30;7702.41;8360.49;10359.6
31;7702.41;8424.35;12910.74
32;7702.41;8345.54;10681.95
33;7702.41;8196.0;10090.21
34;7702.41;8165.61;10167.69
35;7702.41;8124.61;9977.38
36;7702.41;8220.75;9963.85
37;7702.41;8163.87;11237.56
38;7702.41;8095.12;10355.09
39;7702.41;8169.44;10061.53
40;7598.4;8045.95;11014.94
41;7548.95;8229.42;9847.57
42;7598.4;8273.96;10182.0
43;7598.4;8287.47;11070.09
44;7598.4;8313.29;11395.25
45;7598.4;8553.16;11109.07
46;7702.41;8354.43;12992.91
47;7548.95;8170.54;9934.23
48;7702.41;8251.77;10182.31
49;7702.41;8142.17;10044.41
50;7702.41;8065.48;10044.41
51;7702.41;8146.3;10479.9
52;7702.41;8208.61;11783.48
53;7598.4;8062.47;9838.8
54;7598.4;8095.75;9916.38
55;7598.4;8211.38;10576.29
56;7598.4;8289.66;10500.18
57;7548.95;8217.65;10508.7
58;7548.95;8264.77;10811.55
59;7548.95;8397.95;10862.47
60;7548.95;8102.77;11670.53
61;7548.95;8165.62;9850.33
62;7548.95;8214.53;10298.61
63;7548.95;8277.67;11456.97
64;7548.95;8163.3;10096.59
65;7548.95;8034.08;10003.88
66;7548.95;7909.37;9876.61
67;7544.32;8046.81;9803.08
68;7544.32;8016.59;10422.83
69;7544.32;8087.85;10346.72
70;7544.32;7968.86;11064.62
71;7544.32;8053.17;9659.02
72;7544.32;8005.3;9433.81
73;7544.32;7988.64;9554.06
74;7544.32;8045.04;10028.7
75;7544.32;7983.25;10342.09
76;7544.32;7997.32;9932.12
77;7544.32;7940.75;9495.41
78;7544.32;8005.16;9700.81
79;7544.32;8069.88;9805.76
80;7544.32;8088.53;10634.02
81;7544.32;8044.94;10057.3
82;7544.32;8028.44;9938.01
83;7544.32;8073.11;10925.44
84;7544.32;8061.75;10501.54
85;7544.32;7966.2;10345.98
86;7544.32;7909.67;10103.35
87;7544.32;7981.78;9758.29
88;7544.32;7979.59;9740.41
89;7544.32;7961.23;9886.32
90;7544.32;7989.66;10464.15
91;7544.32;8073.1;9856.27
92;7544.32;7970.82;9872.73
93;7544.32;7980.97;9855.05
94;7544.32;7944.84;10078.39
95;7544.32;7907.16;9932.12
96;7544.32;8066.75;11181.01
97;7544.32;7944.38;9559.55
98;7544.32;7991.61;9893.78
99;7544.32;7865.02;10263.26
100;7544.32;7997.65;10057.21
101;7544.32;8020.86;9932.12
102;7544.32;8091.75;10263.26
103;7544.32;8062.36;9872.73
104;7544.32;8003.37;10192.75
105;7544.32;8013.69;9999.25
106;7544.32;8148.52;9941.45
107;7544.32;8122.26;10477.22
108;7544.32;7993.48;9999.25
109;7544.32;7982.17;9494.63
110;7544.32;8013.77;9551.9
111;7544.32;8031.36;9963.32
112;7544.32;8022.5;9953.62
113;7544.32;8054.78;9495.41
114;7544.32;8015.94;9534.88
115;7544.32;7967.08;10270.54
116;7544.32;7983.14;10263.26
117;7544.32;8038.68;9806.01
118;7544.32;7936.2;10155.65
119;7544.32;7953.47;9758.29
120;7544.32;7960.87;9655.14
121;7544.32;8017.26;10454.62
122;7544.32;8099.67;11077.03
123;7544.32;7955.23;10143.71
124;7544.32;7976.01;10321.81
125;7544.32;8018.18;10140.52
126;7544.32;8036.06;10418.2
127;7544.32;8153.99;9893.78
128;7544.32;8006.05;9835.56
129;7544.32;8026.12;10341.19
130;7544.32;8016.31;10342.09
131;7544.32;7866.64;9271.92
132;7544.32;8025.47;9893.78
133;7544.32;8133.18;9632.19
134;7544.32;8036.82;10418.2
135;7544.32;8025.57;9809.18
136;7544.32;7884.0;9582.6
137;7544.32;7982.7;9864.88
138;7544.32;8007.56;10577.85
139;7544.32;7925.79;10199.96
140;7544.32;8003.49;10263.26
141;7544.32;8038.6;9932.12
142;7544.32;8013.29;10342.09
143;7544.32;7861.64;9932.12
144;7544.32;8082.09;10716.66
145;7544.32;8194.87;11114.35
146;7544.32;7955.96;9616.63
147;7544.32;8000.39;10057.27
148;7544.32;8038.42;9979.57
149;7544.32;8054.0;10412.95
150;7544.32;8098.06;10028.7
151;7544.32;7990.52;9962.18
152;7544.32;8014.65;9963.32
153;7544.32;7998.02;9804.59
154;7544.32;7946.71;10164.3
155;7544.32;7940.41;9798.45
156;7544.32;7943.52;9612.54
157;7544.32;8044.18;9717.66
158;7544.32;8071.34;11223.15
159;7544.32;7997.09;9819.29
160;7544.32;8005.77;9798.45
161;7544.32;8067.8;10249.81
162;7544.32;8032.83;9910.18
163;7544.32;8031.57;9835.56
164;7544.32;8028.9;10454.62
165;7544.32;7965.08;10541.65
166;7544.32;8018.85;9893.78
167;7544.32;7973.89;10321.81
168;7544.32;8048.5;9886.32
169;7544.32;7953.56;9642.93
170;7544.32;7979.43;9339.42
171;7544.32;7980.84;10108.42
172;7544.32;7974.09;9835.56
173;7544.32;8106.33;10541.14
174;7544.32;7999.77;9965.18
175;7544.32;7983.16;9404.74
176;7544.32;7992.64;9884.0
177;7544.32;7939.56;9655.14
178;7544.32;7948.01;9918.43
179;7544.32;8027.39;10057.27
180;7544.32;7973.32;9949.0
181;7544.32;8122.78;10249.81
182;7544.32;7993.52;9975.41
183;7544.32;7979.59;9806.01
184;7544.32;8021.43;10490.42
185;7544.32;7964.85;10057.27
186;7544.32;8014.39;11132.67
187;7544.32;7911.14;9516.07
188;7544.32;7882.77;9566.58
189;7544.32;8046.58;9903.44
190;7544.32;7982.61;9700.81
191;7544.32;8075.15;10321.81
192;7544.32;8016.96;11026.99
193;7544.32;8009.04;10454.62
194;7544.32;7951.56;9520.67
195;7544.32;7962.56;9722.33
196;7544.32;7905.11;10342.09
197;7544.32;7996.99;11717.4
198;7544.32;7954.17;10140.52
199;7544.32;7981.46;9864.88
200;7544.32;8034.69;9740.41

